,ticker,time,volume_adi,volume_mfi,volatility_atr,trend_sma_slow,trend_macd,momentum_rsi,momentum_roc,momentum_ppo,others_dlr,others_cr
3691,stz,2006,-7085591926,51.47047338,2.479658385,23.86221906,0.087523271,53.88568369,0.536981813,0.352820932,0.040271539,59.44530536
3692,stz,2007,-11658103181,47.27891552,2.315158422,21.67269585,-0.105132887,47.63851204,-0.508500822,-0.483576699,-0.081691265,42.71877085
3693,stz,2008,-14867419997,48.09018317,1.999428815,17.66891753,-0.249246861,46.7268919,-1.564488594,-1.611394226,-0.160012167,14.64827308
3694,stz,2009,-17799416788,53.60953575,1.447613911,12.90275456,0.052366079,52.14529428,0.329626739,0.335768683,0.004005801,-13.9854129
3695,stz,2010,-21738874010,52.44835478,1.670787133,15.79679254,0.129570521,56.12393403,1.755795023,0.737270862,0.130806945,6.774111469
3696,stz,2011,-26052107903,51.26876597,1.96039882,18.51094348,-0.041609175,49.08447287,-0.216438963,-0.247816609,-0.027442115,22.41262148
3697,stz,2012,-30663211256,53.30568978,2.60026605,24.07559455,0.400468208,56.84812785,3.133093396,1.546207256,0.215098251,64.62702974
3698,stz,2013,-35933931164,56.988636,5.057470102,47.02133827,0.861642328,61.06283306,3.656319473,1.817364389,0.272809565,222.8922348
3699,stz,2014,-39900563111,53.58703333,8.014540148,76.73261311,0.631041174,56.87377035,1.630541349,0.835589251,0.132060021,417.6099833
3700,stz,2015,-43091451900,57.53440434,11.1886772,110.7260529,1.194064891,57.90988346,1.97007973,1.106327189,0.150684557,649.8825562
3701,stz,2016,-46375684730,49.90924743,13.06511684,144.1347456,0.397002857,52.825965,0.473244139,0.281204555,0.032986872,861.3535881
3702,stz,2017,-50077235097,56.84831101,13.44836958,171.6936847,1.759970972,61.08364755,1.925015728,1.004837358,0.163374336,1063.16187
3703,stz,2018,-53373831719,46.13309492,13.73288383,204.8657328,-0.817735156,46.95959314,-1.195382326,-0.444159689,-0.134915748,1246.696859
3704,stz,2019,-55946402846,51.33692302,9.600930199,180.3161306,0.062955653,51.293777,0.716724492,0.004337121,0.07184124,1102.712352
3705,stz,2020,-56971234068,56.68882944,8.027424684,174.5614814,0.668083471,53.17783059,1.339877319,0.271592346,0.062171793,1069.92736
3706,uboh,2006,#NAME?,58.39039695,5.673183507,10.25406778,0.029854331,51.76564064,0.658445958,0.286485907,0.063251119,6.126335474
3707,uboh,2007,#NAME?,54.83036797,5.079479361,10.1035759,-0.045453944,47.7084818,-0.660951931,-0.469087287,-0.097334911,3.03150062
3708,uboh,2008,#NAME?,54.35179984,3.80446837,8.417570654,-0.07248628,47.09432149,-1.449726011,-0.908290513,-0.17881696,-14.89921291
